YEAR,WRKSTAT,MARITAL,AGEWED,CHILDS,AGE,EDUC,PAEDUC,MAEDUC,DEGREE,PADEG,MADEG,FEMALE,RACE,INCOME,INCOME98,RELIG,FUND,ATTEND,RELITEN,PRAY,PRAYER,BIBLE,HAPPY,ALIKE1,ALIKE2,ALIKE3,ALIKE4,ALIKE5,ALIKE6,ALIKE7,ALIKE8,AGEWEDCR,HAPUNHAP,REALINC,WORDSUM
1972,1,1,22,5,37,14,10,12,1,0,0,0,1,NA,NA,2,2,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,1,1,23,2,46,9,3,3,0,0,0,0,1,NA,NA,2,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,7,1,20,1,22,12,13,6,1,1,0,1,1,NA,NA,1,3,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,7,1,19,5,53,10,NA,4,0,NA,0,1,1,NA,NA,2,2,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43994,NA
1972,1,1,22,5,35,12,NA,11,1,NA,NA,0,1,NA,NA,2,2,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37226,NA
1972,7,1,24,3,31,14,12,12,1,1,1,1,1,NA,NA,2,2,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60915,NA
1972,7,1,20,0,30,12,12,12,1,1,1,1,1,NA,NA,2,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37226,NA
1972,7,1,20,3,37,12,NA,11,1,NA,0,1,1,NA,NA,1,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37226,NA
1972,3,1,18,4,57,11,NA,NA,0,NA,NA,1,1,NA,NA,1,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60915,NA
1972,4,1,23,1,39,12,NA,14,1,NA,1,0,1,NA,NA,1,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,7,1,35,1,62,9,NA,8,0,NA,0,1,1,NA,NA,1,1,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,1,1,19,5,51,12,8,8,1,0,0,0,1,NA,NA,1,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,1,1,25,6,43,11,6,12,0,0,1,0,1,NA,NA,2,2,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,1,1,20,4,39,12,8,8,1,0,0,0,1,NA,NA,1,2,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,7,1,19,2,52,8,4,4,0,0,0,1,1,NA,NA,5,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24366,NA
1972,1,1,21,2,30,12,8,12,1,0,1,0,1,NA,NA,2,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,2,1,17,0,47,12,12,10,1,1,0,1,1,NA,NA,1,1,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,1,5,NA,0,31,12,12,8,1,1,0,1,1,NA,NA,2,2,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,4,1,23,0,25,16,12,10,3,1,0,0,1,NA,NA,2,2,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
